date,World Equities,World Bonds,US Investment Grade,US High Yield,Gold,Energy,Copper,median
2000-10-31,-0.25,0.25,0.25,-0.25,-0.25,-0.25,0.25,0.2693936994281195
2000-11-30,-0.25,0.25,0.25,-0.25,-0.25,-0.25,0.25,0.34522667685043223
2000-12-29,-0.25,0.25,0.25,-0.25,-0.25,-0.25,0.25,0.3211735409898371
2001-01-31,-0.25,0.25,0.25,-0.25,-0.25,-0.25,0.25,0.3082205407613665
2001-02-28,-0.25,0.25,0.25,-0.25,-0.25,-0.25,0.25,0.2211786824152911
2001-03-30,-0.25,-0.25,0.25,-0.25,0.25,-0.25,0.25,0.25888002310048025
2001-04-30,-0.25,0.25,0.25,-0.25,0.25,-0.25,-0.25,0.23587521220052124
2001-05-31,-0.25,0.25,0.25,-0.25,0.25,-0.25,-0.25,0.2085693541657499
2001-06-29,-0.25,0.25,0.25,-0.25,0.25,-0.25,-0.25,0.22321167857577695
2001-07-31,-0.25,0.25,-0.25,0.25,0.25,-0.25,-0.25,0.17801119482468897
2001-08-31,-0.25,-0.25,-0.25,-0.25,0.25,0.25,0.25,0.1658340163046845
2001-09-28,-0.25,-0.25,-0.25,0.25,0.25,-0.25,0.25,0.12408947220132714
2001-10-31,-0.25,-0.25,-0.25,0.25,0.25,-0.25,0.25,0.06626114555094281
2001-11-30,-0.25,-0.25,-0.25,0.25,0.25,-0.25,0.25,0.12190345641929888
2001-12-31,-0.25,0.25,-0.25,0.25,0.25,-0.25,-0.25,0.16829556912678595
2002-01-31,-0.25,0.25,-0.25,-0.25,0.25,-0.25,0.25,0.1792256480369268
2002-02-28,-0.25,0.25,-0.25,-0.25,0.25,-0.25,0.25,0.17072447555126163
2002-03-29,-0.25,0.25,0.25,-0.25,0.25,-0.25,-0.25,0.17440703236725627
2002-04-30,-0.25,0.25,0.25,-0.25,0.25,-0.25,-0.25,0.1767685229939133
2002-05-31,-0.25,0.25,-0.25,-0.25,0.25,-0.25,0.25,0.15857994342888293
2002-06-28,-0.25,0.25,-0.25,0.25,-0.25,-0.25,0.25,0.16270908435049158
2002-07-31,-0.25,-0.25,0.25,0.25,-0.25,-0.25,0.25,0.06556080926464947
2002-08-30,-0.25,-0.25,-0.25,0.25,0.25,-0.25,0.25,0.11667090183765322
2002-09-30,-0.25,-0.25,-0.25,0.25,0.25,0.25,-0.25,0.13243779824201313
2002-10-31,-0.25,-0.25,-0.25,0.25,0.25,-0.25,0.25,0.08405910306649175
2002-11-29,-0.25,-0.25,-0.25,0.25,0.25,-0.25,0.25,0.09675058940382401
2002-12-31,-0.25,-0.25,-0.25,-0.25,0.25,0.25,0.25,0.13880703819223403
2003-01-31,-0.25,-0.25,-0.25,-0.25,0.25,0.25,0.25,0.10443292039872892
2003-02-28,-0.25,-0.25,-0.25,-0.25,0.25,0.25,0.25,0.08877651560219606
2003-03-31,-0.25,-0.25,-0.25,-0.25,0.25,0.25,0.25,0.04723019002480448
2003-04-30,-0.2,-0.2,-0.2,-0.2,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.04464375792570141
2003-05-30,-0.2,-0.2,-0.2,-0.2,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.0531104617486308
2003-06-30,-0.2,-0.2,-0.2,-0.2,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.08291885702605199
2003-07-31,-0.2,-0.2,-0.2,-0.2,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.062276893160232175
2003-08-29,-0.2,-0.2,-0.2,-0.2,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.04895120569524066
2003-09-30,-0.2,-0.2,-0.2,-0.2,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.10398065744507494
2003-10-31,-0.2,-0.2,-0.2,-0.2,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.04834357287295174
